Species	Invasive	Feeding	Plant_family	Primary_host	Summer_host	Host_breadth	Diet.breadth.families	Pest_family	Pest_status	DL_notes	Common_name	First_report	Host_alternating	Parthenogenesis	Minimum_length	Maximum_length
Rhopalosiphum cerasifoliae	Native	Specialist	Rosaceae;Cyperaceae;Juncaceae	Prunus	grass	P	3	NA	NA		chokecherry aphid		Heteroecious	Holocyclic	2	2.5
Rhopalosiphum maidis	Invasive	Specialist	Poaceae;Cyperaceae;Typhaceae;Rosaceae	NA	grass	O	4	Poaceae	Field crop		corn leaf aphid	1851	Monoecious	Anholocyclic	0.9	2.4
Rhopalosiphum nymphaeae	Invasive	Generalist	Alismataceae;Butomaceae;Plantaginaceae;Juncaceae;Nelumbonaceae;Nymphaeaceae;Potamogetonaceae;Typhaceae;Juncaginaceae	Prunus	forb, grass	P	9	NA	NA		waterlily aphid	1890	Heteroecious	Holocyclic	1.6	2.9
Rhopalosiphum oxyacanthae	Native	Specialist	Rosaceae;Poaceae	Pyroidae	grass	O	2	Rosaceae	Fruit		apply-grass aphid		Heteroecious	Holocyclic	2.1	2.6
Rhopalosiphum padi	Native	Generalist	Rosaceae;Oleaceae;Poaceae;Cyperaceae;Iridaceae;Juncaceae;Typhaceae;Brassicaceae;Caryophyllaceae	Prunus	grass	O	9	Poaceae	Field crop		Bird cherry-oat aphid		Monoecious	Anholocyclic	2	2.9
Rhopalosiphum rufiabdominale	Invasive	Generalist	Rosaceae;Cannabaceae;Poaceae;Cyperaceae;Solanaceae	Prunus	forb, grass	P	5	Poaceae	Field crop		red rice root aphid	1856	Heteroecious	Holocyclic	2	2.6
Schizaphis graminum	Invasive	Specialist	Poaceae	NA	grass	O	1	Poaceae	Field crop		greenbug	1884	Monoecious	Holocyclic	1.3	2.1
Schizaphis minuta	Invasive	Specialist	Mazaceae; Cyperaceae	NA	grass	O	2	NA	NA			1998	Monoecious	Anholocyclic	1.2	1.8
Shivaphis celti	Invasive	Specialist	Cannabaceae	NA	forb	M	1	Cannabaceae	NA		Asian wooly hackberry aphid	1996	Monoecious	Anholocyclic	1.9	2.6
Sipha elegans	Invasive	Specialist	Poaceae	NA	grass	O	1	Poaceae	Field crop			1949	Monoecious	Holocyclic	1.4	2.1
Sipha flava	Native	Specialist	Poaceae	NA	grass	O	1	Poaceae	Field crop		yellow sugarcane aphid		Monoecious	Holocyclic	1.3	2
Sitobion avenae	Invasive	Specialist	Poaceae;Caryophyllaceae;Brassicaceae	NA	grass	O	3	Poaceae	Field crop		English grain aphid	1851	Monoecious	Holocyclic	1.3	3.3
Tetraneura spp.	Invasive	Specialist	Ulmaceae;Poaceae	Ulmus	grass	O	2	Poaceae	Field crop	T. ulmi, T. nigriabdominalis 	(elm-grass root aphid)	1890?	Heteroecious	Holocyclic	1.5	2.8
Therioaphis riehmi	Invasive	Specialist	Fabaceae	NA	forb	O	1	Fabaceae	Field crop		sweet clover aphid	1948	Monoecious	Holocyclic	2	2.7
Therioaphis trifolii	Invasive	Specialist	Fabaceae	NA	forb	O	1	Fabaceae	Field crop		yellow clover aphid	1879	Monoecious	Holocyclic	1.4	2.2
Thripsaphis spp.	Native	Specialist	Cyperaceae	NA	grass	M	1	NA	NA				Monoecious	Anholocyclic	1.4	3
Tinocallis saltans	Invasive	Specialist	Ulmaceae	NA	tree	M	1	Ulmaceae	NA			1986	Monoecious	Holocyclic	1.4	2.2
Uroleucon sonchi	Invasive	Specialist	Asteraceae	NA	forb	O	1	NA	NA		sow-thistle aphid	1892	Monoecious	Holocyclic	2.9	4.5
Uroleucon taraxaci	Invasive	Specialist	Asteraceae	NA	forb	M	1	NA	NA		bronze-brown dandelion aphid	1902	Monoecious	Holocyclic	2.5	3.8
